market,symbol,trade_date,open,high,low,close,adj_close,volume,source_vendor
US,NVDA,2026-04-09,109.20,112.40,108.60,111.80,111.80,48200000,polygon-demo
US,NVDA,2026-04-10,112.10,116.20,111.90,115.90,115.90,53800000,polygon-demo
US,SNOW,2026-04-09,151.00,154.40,149.80,153.80,153.80,8200000,polygon-demo
US,SNOW,2026-04-10,154.00,159.20,153.40,158.40,158.40,9100000,polygon-demo
US,CRWD,2026-04-09,336.20,340.80,333.10,339.10,339.10,5200000,polygon-demo
US,CRWD,2026-04-10,338.20,339.90,328.10,330.40,330.40,6100000,polygon-demo
US,ARM,2026-04-09,136.10,138.20,134.90,137.80,137.80,6800000,polygon-demo
US,ARM,2026-04-10,138.50,144.40,138.00,143.60,143.60,7700000,polygon-demo
CN,300308.SZ,2026-04-09,101.20,104.80,100.50,103.60,103.60,4820000,sample-cn
CN,300308.SZ,2026-04-10,104.10,108.20,103.30,107.50,107.50,5380000,sample-cn
CN,300750.SZ,2026-04-09,188.40,192.80,186.70,191.20,191.20,6200000,sample-cn
CN,300750.SZ,2026-04-10,191.50,197.30,190.60,196.10,196.10,7100000,sample-cn
CN,688981.SH,2026-04-09,55.20,56.40,54.80,56.10,56.10,18200000,sample-cn
CN,688981.SH,2026-04-10,56.40,58.30,55.90,57.80,57.80,20300000,sample-cn
