symbol,trade_date,open,high,low,close,adj_close,volume,source_vendor
NVDA,2026-04-02,172.18,177.49,171.37,177.39,177.39,143143157,polygon-live
NVDA,2026-04-06,177.155,177.79,175.76,177.64,177.64,107564279,polygon-live
NVDA,2026-04-07,175.725,178.23,173.66,178.1,178.1,132534902,polygon-live
NVDA,2026-04-08,184.5,185.26,180.3,182.08,182.08,147732686,polygon-live
NVDA,2026-04-09,181.84,184.08,180.62,183.91,183.91,116428523,polygon-live
NVDA,2026-04-10,184.31,190,184.3,188.63,188.63,159855249,polygon-live
SNOW,2026-04-02,150.2,155.585,147.53,151.85,151.85,4855514,polygon-live
SNOW,2026-04-06,151.75,153.1,147.24,149.38,149.38,5669261,polygon-live
SNOW,2026-04-07,149.35,151,145.3,149.24,149.24,5267147,polygon-live
SNOW,2026-04-08,155.34,157.84,148.74,149.99,149.99,5506208,polygon-live
SNOW,2026-04-09,150.35,150.35,131.18,132.24,132.24,15489411,polygon-live
SNOW,2026-04-10,132.505,132.91,118.3,121.11,121.11,23337782,polygon-live
CRWD,2026-04-02,391.18,400.8,386.75,399.12,399.12,1990086,polygon-live
CRWD,2026-04-06,405,405,392.7302,398.61,398.61,1595726,polygon-live
CRWD,2026-04-07,397.865,423.73,395.579,423.23,423.23,4626826,polygon-live
CRWD,2026-04-08,439.99,449.9,423.35,426.51,426.51,4727169,polygon-live
CRWD,2026-04-09,425.98,427.02,390.81,394.68,394.68,5420541,polygon-live
CRWD,2026-04-10,396.102,398.05,364.47,379.02,379.02,8938819,polygon-live
ARM,2026-04-02,149.77,152.07,145.82,149.11,149.11,8183181,polygon-live
ARM,2026-04-06,152.18,153.68,146.1,148.77,148.77,4137616,polygon-live
ARM,2026-04-07,143.815,145.5,137.58,143.86,143.86,7070995,polygon-live
ARM,2026-04-08,152.16,153.42,145,148.91,148.91,6480268,polygon-live
ARM,2026-04-09,148.23,150.4,145.27,149.795,149.795,5325719,polygon-live
ARM,2026-04-10,152.41,159.29,147.96,148.93,148.93,7431269,polygon-live
