         495801 function calls (487175 primitive calls) in 0.579 seconds

   Ordered by: cumulative time
   List reduced from 788 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.331    0.331 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/services/cb_quant_service.py:4211(_prepare_candidate_pool_map)
       10    0.001    0.000    0.331    0.033 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:168(prepare_candidate_pool)
        1    0.000    0.000    0.248    0.248 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/services/cb_quant_service.py:233(_evaluate_combo_payload)
      990    0.006    0.000    0.242    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:317(apply)
        1    0.000    0.000    0.223    0.223 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/services/cb_quant_service.py:148(_build_candidate_code_map_payload)
       10    0.001    0.000    0.222    0.022 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:462(build_candidate_codes)
      200    0.002    0.000    0.219    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:6659(copy)
       10    0.000    0.000    0.219    0.022 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:389(_score_candidate_frame)
      250    0.000    0.000    0.217    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:557(copy)
      981    0.206    0.000    0.207    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/blocks.py:790(copy)
       10    0.001    0.000    0.199    0.020 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:243(_compute_candidate_scores)
1170/1160    0.002    0.000    0.133    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/ops/common.py:62(new_method)
  546/496    0.001    0.000    0.090    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:1176(__getitem__)
      710    0.001    0.000    0.082    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/series.py:6124(_arith_method)
      710    0.004    0.000    0.081    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/base.py:1371(_arith_method)
     1160    0.003    0.000    0.075    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/series.py:6192(_construct_result)
     1350    0.012    0.000    0.075    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/series.py:389(__init__)
      396    0.001    0.000    0.058    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:1397(_getitem_axis)
       60    0.001    0.000    0.055    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:8917(clip)
       60    0.001    0.000    0.053    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:8824(_clip_with_scalar)
       50    0.001    0.000    0.049    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:1365(_getitem_tuple)
       50    0.002    0.000    0.049    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:1032(_getitem_lowerdim)
       10    0.001    0.000    0.048    0.005 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:84(_build_dynamic_factor_inputs)
       80    0.000    0.000    0.034    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:1205(_getbool_axis)
99671/98271    0.025    0.000    0.034    0.000 {built-in method builtins.isinstance}
      130    0.000    0.000    0.033    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:10800(where)
      130    0.002    0.000    0.033    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:10612(_where)
       10    0.000    0.000    0.027    0.003 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:141(_build_dynamic_factor_scores_from_inputs)
      250    0.001    0.000    0.026    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/series.py:6101(_cmp_method)
      630    0.004    0.000    0.025    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/frame.py:4050(__getitem__)
        1    0.000    0.000    0.025    0.025 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/portfolio_backtest.py:403(run_backtest_from_candidates)
