         4224973 function calls (4154981 primitive calls) in 7.886 seconds

   Ordered by: cumulative time
   List reduced from 794 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    5.309    5.309 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/services/cb_quant_service.py:233(_evaluate_combo_payload)
        1    0.008    0.008    4.672    4.672 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/services/cb_quant_service.py:148(_build_candidate_code_map_payload)
       80    0.011    0.000    4.661    0.058 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:423(build_candidate_codes)
       80    0.092    0.001    4.552    0.057 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:243(_score_candidate_frame)
9360/9280    0.026    0.000    2.680    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/ops/common.py:62(new_method)
        1    0.001    0.001    2.577    2.577 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/services/cb_quant_service.py:4211(_prepare_candidate_pool_map)
       80    0.032    0.000    2.576    0.032 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:168(prepare_candidate_pool)
     5680    0.014    0.000    1.822    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/series.py:6124(_arith_method)
     5680    0.136    0.000    1.799    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/base.py:1371(_arith_method)
     9280    0.090    0.000    1.766    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/series.py:6192(_construct_result)
    10800    0.234    0.000    1.712    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/series.py:389(__init__)
      480    0.012    0.000    1.409    0.003 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:8917(clip)
      480    0.019    0.000    1.377    0.003 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:8824(_clip_with_scalar)
4249/3929    0.023    0.000    1.249    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:1176(__getitem__)
     3049    0.010    0.000    1.039    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:1397(_getitem_axis)
       80    0.022    0.000    1.011    0.013 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:84(_build_dynamic_factor_inputs)
     7760    0.091    0.000    0.974    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:317(apply)
     1040    0.013    0.000    0.902    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:10800(where)
     1040    0.086    0.000    0.887    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:10612(_where)
       80    0.007    0.000    0.793    0.010 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:141(_build_dynamic_factor_scores_from_inputs)
     1600    0.037    0.000    0.670    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:6659(copy)
