         266191 function calls (261702 primitive calls) in 0.611 seconds

   Ordered by: cumulative time
   List reduced from 794 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.502    0.502 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/services/cb_quant_service.py:231(_evaluate_combo_payload)
        1    0.000    0.000    0.483    0.483 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/services/cb_quant_service.py:146(_build_candidate_code_map_payload)
        5    0.000    0.000    0.483    0.097 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:423(build_candidate_codes)
        5    0.001    0.000    0.420    0.084 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:243(_score_candidate_frame)
       30    0.001    0.000    0.223    0.007 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:8917(clip)
       30    0.000    0.000    0.221    0.007 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:8824(_clip_with_scalar)
  585/580    0.022    0.000    0.176    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/ops/common.py:62(new_method)
        5    0.000    0.000    0.160    0.032 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:141(_build_dynamic_factor_scores_from_inputs)
        5    0.000    0.000    0.153    0.031 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:71(_score_abs_lower_better)
       65    0.001    0.000    0.118    0.002 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:10800(where)
       65    0.001    0.000    0.117    0.002 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:10612(_where)
        1    0.000    0.000    0.110    0.110 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/services/cb_quant_service.py:4112(_prepare_candidate_pool_map)
        5    0.000    0.000    0.110    0.022 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:168(prepare_candidate_pool)
      125    0.098    0.001    0.098    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/warnings.py:133(filterwarnings)
      100    0.047    0.000    0.084    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/series.py:6114(_logical_method)
       55    0.000    0.000    0.070    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/arraylike.py:76(__or__)
  260/240    0.001    0.000    0.070    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:1176(__getitem__)
      185    0.000    0.000    0.066    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:1397(_getitem_axis)
      580    0.020    0.000    0.066    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/series.py:6192(_construct_result)
       15    0.050    0.003    0.063    0.004 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:6460(astype)
       55    0.000    0.000    0.053    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/frame.py:4259(__setitem__)
       35    0.000    0.000    0.048    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:1205(_getbool_axis)
        5    0.000    0.000    0.047    0.009 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:84(_build_dynamic_factor_inputs)
       40    0.000    0.000    0.046    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:869(take)
       35    0.000    0.000    0.046    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:4139(_take_with_is_copy)
       35    0.000    0.000    0.046    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:4024(take)
      675    0.004    0.000    0.045    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/series.py:389(__init__)
       40    0.000    0.000    0.044    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:623(reindex_indexer)
      100    0.000    0.000    0.043    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:6659(copy)
      390    0.000    0.000    0.043    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/blocks.py:1287(take_nd)
      125    0.000    0.000    0.042    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:557(copy)
      390    0.000    0.000    0.042    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/array_algos/take.py:59(take_nd)
      390    0.002    0.000    0.042    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
       10    0.000    0.000    0.040    0.004 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:1780(_consolidate_inplace)
       25    0.000    0.000    0.039    0.002 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:708(_slice_take_blocks_ax0)
      390    0.000    0.000    0.039    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/array_algos/take.py:564(_take_preprocess_indexer_and_fill_value)
        5    0.000    0.000    0.039    0.008 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:2257(_consolidate)
      390    0.039    0.000    0.039    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:551(maybe_promote)
      125    0.001    0.000    0.035    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/series.py:6101(_cmp_method)
      355    0.000    0.000    0.034    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/series.py:6124(_arith_method)
      355    0.002    0.000    0.034    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/base.py:1371(_arith_method)
       20    0.002    0.000    0.031    0.002 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:2274(_merge_blocks)
       55    0.000    0.000    0.031    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/frame.py:4502(_set_item)
     1640    0.029    0.000    0.031    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:6233(__finalize__)
      490    0.002    0.000    0.031    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:317(apply)
       55    0.000    0.000    0.029    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/frame.py:4469(_set_item_mgr)
       20    0.000    0.000    0.028    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:7882(replace)
       55    0.000    0.000    0.028    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:1347(insert)
       55    0.000    0.000    0.025    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexes/base.py:6956(insert)
       25    0.000    0.000    0.024    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:882(__setitem__)
       20    0.000    0.000    0.024    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/numpy/core/shape_base.py:219(vstack)
       20    0.023    0.001    0.023    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/numpy/core/shape_base.py:81(atleast_2d)
       55    0.016    0.000    0.021    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexes/base.py:2313(is_unique)
53508/52858    0.009    0.000    0.019    0.000 {built-in method builtins.isinstance}
       25    0.000    0.000    0.018    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:1785(_setitem_with_indexer)
       25    0.000    0.000    0.018    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:2179(_setitem_single_block)
      150    0.008    0.000    0.016    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:1379(_get_label)
       55    0.014    0.000    0.015    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/numpy/lib/function_base.py:5369(insert)
       20    0.000    0.000    0.015    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/arraylike.py:46(__lt__)
      661    0.000    0.000    0.015    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/_config/config.py:145(_get_option)
      715    0.002    0.000    0.014    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/construction.py:517(sanitize_array)
